experiment_begin_timestamp,experiment_sec,experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,humidity_2,target_temperature,heating_proportional_Cf,cooling_proportional_Cf,target_humidity_high,target_humidity_low,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,fan_on,humidifyer_on,heater_on
-1000,0,1728434152.7980494,20,1728442789.5334039,38.34,0.4696,37.97,0.45170000000000005,38.33,5.0,1.0,0.45,0.4,2,1728442807.9009666,0,0.010000000000005116,False,0
-1000,0,1728434152.7980494,20,1728442811.5485404,38.4,0.46770000000000006,38.02,0.4509,38.33,5.0,1.0,0.45,0.4,2,1728442829.7654853,0,0.07000000000000028,False,0
-1000,0,1728434152.7980494,20,1728442833.4119318,38.39,0.4669,38.03,0.4501,38.33,5.0,1.0,0.45,0.4,2,1728442851.6285837,0,0.060000000000002274,False,0
-1000,0,1728434152.7980494,20,1728442855.2776222,38.37,0.4669,38.03,0.44939999999999997,38.33,5.0,1.0,0.45,0.4,2,1728442873.4880357,0,0.03999999999999915,False,0
-1000,0,1728434152.7980494,20,1728442877.1349914,38.27,0.46740000000000004,37.98,0.44939999999999997,38.33,5.0,1.0,0.45,0.4,2,1728442894.9576817,0,False,False,0.29999999999997584
-1000,0,1728434152.7980494,20,1728442898.2024796,38.16,0.4692,37.89,0.45030000000000003,38.33,5.0,1.0,0.45,0.4,2,1728442917.6764073,0,False,False,0.8500000000000085
-1000,0,1728434152.7980494,20,1728442920.9337766,38.12,0.4711,37.84,0.4516,38.33,5.0,1.0,0.45,0.4,2,1728442940.400454,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728442943.649604,38.03,0.4728,37.81,0.4522,38.33,5.0,1.0,0.45,0.4,2,1728442963.1142328,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728442966.360887,38.04,0.47350000000000003,37.81,0.4529,38.33,5.0,1.0,0.45,0.4,2,1728442985.8256848,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728442989.0793056,38.04,0.47340000000000004,37.82,0.4533,38.33,5.0,1.0,0.45,0.4,2,1728443008.5490017,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443011.7979224,38.08,0.4728,37.82,0.45280000000000004,38.33,5.0,1.0,0.45,0.4,2,1728443031.2637634,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443034.5133247,38.18,0.4715,37.85,0.45270000000000005,38.33,5.0,1.0,0.45,0.4,2,1728443053.9776635,0,False,False,0.7499999999999929
-1000,0,1728434152.7980494,20,1728443057.228271,38.28,0.46950000000000003,37.93,0.4514,38.33,5.0,1.0,0.45,0.4,2,1728443076.887824,0,False,False,0.2499999999999858
-1000,0,1728434152.7980494,20,1728443080.1411178,38.37,0.4675,37.98,0.4507,38.33,5.0,1.0,0.45,0.4,2,1728443096.6170425,0,0.03999999999999915,False,0
-1000,0,1728434152.7980494,20,1728443100.270027,38.41,0.4661,38.04,0.4495,38.33,5.0,1.0,0.45,0.4,2,1728443118.470628,0,0.0799999999999983,False,0
-1000,0,1728434152.7980494,20,1728443122.1186051,38.39,0.4657,38.02,0.4486,38.33,5.0,1.0,0.45,0.4,2,1728443140.341339,0,0.060000000000002274,False,0
-1000,0,1728434152.7980494,20,1728443143.9912815,38.37,0.46630000000000005,37.97,0.4486,38.33,5.0,1.0,0.45,0.4,2,1728443162.2065425,0,0.03999999999999915,False,0
-1000,0,1728434152.7980494,20,1728443165.856184,38.24,0.4669,37.96,0.4486,38.33,5.0,1.0,0.45,0.4,2,1728443185.109619,0,False,False,0.4499999999999815
-1000,0,1728434152.7980494,20,1728443188.3590658,38.19,0.4687,37.88,0.4495,38.33,5.0,1.0,0.45,0.4,2,1728443207.7998292,0,False,False,0.7000000000000028
-1000,0,1728434152.7980494,20,1728443211.0495088,38.11,0.47090000000000004,37.81,0.45060000000000006,38.33,5.0,1.0,0.45,0.4,2,1728443230.5159552,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443233.769202,38.04,0.4719,37.81,0.4515,38.33,5.0,1.0,0.45,0.4,2,1728443253.2253678,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443256.4936068,38.03,0.47200000000000003,37.83,0.4521,38.33,5.0,1.0,0.45,0.4,2,1728443275.9484606,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443279.20276,38.11,0.4717,37.8,0.452,38.33,5.0,1.0,0.45,0.4,2,1728443298.6858118,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443301.9454691,38.17,0.47090000000000004,37.85,0.45170000000000005,38.33,5.0,1.0,0.45,0.4,2,1728443321.4222646,0,False,False,0.799999999999983
-1000,0,1728434152.7980494,20,1728443324.6687431,38.26,0.46909999999999996,37.9,0.451,38.33,5.0,1.0,0.45,0.4,2,1728443344.114471,0,False,False,0.3500000000000014
-1000,0,1728434152.7980494,20,1728443347.3675928,38.34,0.4671,37.96,0.4497,38.33,5.0,1.0,0.45,0.4,2,1728443367.0409544,0,0.010000000000005116,False,0
-1000,0,1728434152.7980494,20,1728443370.6866043,38.37,0.46549999999999997,38.02,0.4485,38.33,5.0,1.0,0.45,0.4,2,1728443388.8899639,0,0.03999999999999915,False,0
-1000,0,1728434152.7980494,20,1728443392.5378404,38.41,0.4647,38.05,0.44770000000000004,38.33,5.0,1.0,0.45,0.4,2,1728443410.7587473,0,0.0799999999999983,False,0
-1000,0,1728434152.7980494,20,1728443414.4169536,38.39,0.4646,38.04,0.4473,38.33,5.0,1.0,0.45,0.4,2,1728443432.6291869,0,0.060000000000002274,False,0
-1000,0,1728434152.7980494,20,1728443436.277667,38.27,0.46530000000000005,37.94,0.4474,38.33,5.0,1.0,0.45,0.4,2,1728443455.2222903,0,False,False,0.29999999999997584
-1000,0,1728434152.7980494,20,1728443458.47615,38.21,0.4667,37.91,0.44799999999999995,38.33,5.0,1.0,0.45,0.4,2,1728443477.932271,0,False,False,0.5999999999999872
-1000,0,1728434152.7980494,20,1728443481.1820848,38.1,0.469,37.86,0.449,38.33,5.0,1.0,0.45,0.4,2,1728443500.6402698,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443503.8880432,38.03,0.4705,37.82,0.45030000000000003,38.33,5.0,1.0,0.45,0.4,2,1728443523.356863,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443526.6096122,38.03,0.47130000000000005,37.81,0.451,38.33,5.0,1.0,0.45,0.4,2,1728443546.062898,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443549.3155227,38.06,0.4711,37.82,0.4509,38.33,5.0,1.0,0.45,0.4,2,1728443568.7703826,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443572.0223703,38.15,0.4704,37.84,0.4507,38.33,5.0,1.0,0.45,0.4,2,1728443591.4827974,0,False,False,0.8999999999999986
-1000,0,1728434152.7980494,20,1728443594.730729,38.18,0.46890000000000004,37.85,0.45030000000000003,38.33,5.0,1.0,0.45,0.4,2,1728443614.202361,0,False,False,0.7499999999999929
-1000,0,1728434152.7980494,20,1728443617.4549637,38.28,0.4673,37.94,0.44930000000000003,38.33,5.0,1.0,0.45,0.4,2,1728443637.3743818,0,False,False,0.2499999999999858
-1000,0,1728434152.7980494,20,1728443640.626123,38.34,0.4657,37.96,0.4483,38.33,5.0,1.0,0.45,0.4,2,1728443657.7561028,0,0.010000000000005116,False,0
-1000,0,1728434152.7980494,20,1728443661.4077792,38.4,0.4643,38.03,0.4471,38.33,5.0,1.0,0.45,0.4,2,1728443679.6317089,0,0.07000000000000028,False,0
-1000,0,1728434152.7980494,20,1728443683.277581,38.4,0.4636,38.01,0.44670000000000004,38.33,5.0,1.0,0.45,0.4,2,1728443701.4848745,0,0.07000000000000028,False,0
-1000,0,1728434152.7980494,20,1728443705.134762,38.34,0.46399999999999997,37.96,0.4465,38.33,5.0,1.0,0.45,0.4,2,1728443723.341988,0,0.010000000000005116,False,0
-1000,0,1728434152.7980494,20,1728443726.997828,38.24,0.46530000000000005,37.91,0.44689999999999996,38.33,5.0,1.0,0.45,0.4,2,1728443745.137047,0,False,False,0.4499999999999815
-1000,0,1728434152.7980494,20,1728443748.3848865,38.15,0.4669,37.84,0.4476,38.33,5.0,1.0,0.45,0.4,2,1728443767.8482144,0,False,False,0.8999999999999986
-1000,0,1728434152.7980494,20,1728443771.0970786,38.08,0.469,37.83,0.449,38.33,5.0,1.0,0.45,0.4,2,1728443790.5661604,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443793.8216794,38.0,0.47000000000000003,37.81,0.4496,38.33,5.0,1.0,0.45,0.4,2,1728443813.2747743,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443816.5275865,38.02,0.47020000000000006,37.81,0.4499,38.33,5.0,1.0,0.45,0.4,2,1728443835.9775593,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443839.2290545,38.07,0.46990000000000004,37.81,0.4498,38.33,5.0,1.0,0.45,0.4,2,1728443858.696395,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728443861.9498007,38.17,0.4686,37.85,0.4499,38.33,5.0,1.0,0.45,0.4,2,1728443881.4061666,0,False,False,0.799999999999983
-1000,0,1728434152.7980494,20,1728443884.6533496,38.25,0.4671,37.9,0.4489,38.33,5.0,1.0,0.45,0.4,2,1728443904.1086164,0,False,False,0.3999999999999915
-1000,0,1728434152.7980494,20,1728443907.3588743,38.33,0.46530000000000005,38.0,0.44810000000000005,38.33,5.0,1.0,0.45,0.4,2,1728443923.3739436,0,0.010000000000005116,False,0
-1000,0,1728434152.7980494,20,1728443930.6656795,38.39,0.4636,37.97,0.44680000000000003,38.33,5.0,1.0,0.45,0.4,2,1728443948.8833208,0,0.060000000000002274,False,0
-1000,0,1728434152.7980494,20,1728443952.5314188,38.39,0.46270000000000006,38.02,0.4461,38.33,5.0,1.0,0.45,0.4,2,1728443970.7472787,0,0.060000000000002274,False,0
-1000,0,1728434152.7980494,20,1728443974.4012976,38.39,0.46280000000000004,37.97,0.4454,38.33,5.0,1.0,0.45,0.4,2,1728443992.6137176,0,0.060000000000002274,False,0
-1000,0,1728434152.7980494,20,1728443996.2642772,38.27,0.4632,37.95,0.4454,38.33,5.0,1.0,0.45,0.4,2,1728444013.3373346,0,False,False,0.29999999999997584
-1000,0,1728434152.7980494,20,1728444016.5799162,38.18,0.465,37.89,0.4461,38.33,5.0,1.0,0.45,0.4,2,1728444036.041255,0,False,False,0.7499999999999929
-1000,0,1728434152.7980494,20,1728444039.2885356,38.09,0.4667,37.83,0.4472,38.33,5.0,1.0,0.45,0.4,2,1728444058.74204,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444061.9942992,38.0,0.4678,37.81,0.44810000000000005,38.33,5.0,1.0,0.45,0.4,2,1728444081.4641428,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444084.7133305,38.0,0.46890000000000004,37.85,0.4485,38.33,5.0,1.0,0.45,0.4,2,1728444104.172793,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444107.4262803,38.07,0.4686,37.82,0.44880000000000003,38.33,5.0,1.0,0.45,0.4,2,1728444126.8867028,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444130.1375191,38.15,0.4678,37.85,0.4489,38.33,5.0,1.0,0.45,0.4,2,1728444149.5964956,0,False,False,0.8999999999999986
-1000,0,1728434152.7980494,20,1728444152.844029,38.25,0.46630000000000005,37.92,0.44780000000000003,38.33,5.0,1.0,0.45,0.4,2,1728444172.312055,0,False,False,0.3999999999999915
-1000,0,1728434152.7980494,20,1728444175.560468,38.28,0.4648,37.96,0.44700000000000006,38.33,5.0,1.0,0.45,0.4,2,1728444192.7573125,0,False,False,0.2499999999999858
-1000,0,1728434152.7980494,20,1728444196.005742,38.36,0.4633,38.01,0.4459,38.33,5.0,1.0,0.45,0.4,2,1728444213.8273318,0,0.030000000000001137,False,0
-1000,0,1728434152.7980494,20,1728444217.4777224,38.39,0.4623,38.01,0.4449,38.33,5.0,1.0,0.45,0.4,2,1728444235.6922092,0,0.060000000000002274,False,0
-1000,0,1728434152.7980494,20,1728444239.3417265,38.36,0.46159999999999995,38.03,0.44450000000000006,38.33,5.0,1.0,0.45,0.4,2,1728444257.5498726,0,0.030000000000001137,False,0
-1000,0,1728434152.7980494,20,1728444261.203545,38.34,0.4618,38.03,0.4441,38.33,5.0,1.0,0.45,0.4,2,1728444279.4148085,0,0.010000000000005116,False,0
-1000,0,1728434152.7980494,20,1728444283.0649486,38.26,0.46280000000000004,37.96,0.44450000000000006,38.33,5.0,1.0,0.45,0.4,2,1728444300.0039442,0,False,False,0.3500000000000014
-1000,0,1728434152.7980494,20,1728444303.2585742,38.1,0.46490000000000004,37.87,0.44530000000000003,38.33,5.0,1.0,0.45,0.4,2,1728444322.7214065,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444325.9754517,38.04,0.46649999999999997,37.84,0.4462,38.33,5.0,1.0,0.45,0.4,2,1728444345.4296021,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444348.6766968,38.04,0.4675,37.8,0.4475,38.33,5.0,1.0,0.45,0.4,2,1728444368.1301036,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444371.380568,37.98,0.4679,37.8,0.4479,38.33,5.0,1.0,0.45,0.4,2,1728444390.8367686,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444394.0853827,38.08,0.46770000000000006,37.82,0.44810000000000005,38.33,5.0,1.0,0.45,0.4,2,1728444413.5451312,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444416.7943258,38.14,0.4668,37.84,0.4479,38.33,5.0,1.0,0.45,0.4,2,1728444436.2585106,0,False,False,0.9499999999999886
-1000,0,1728434152.7980494,20,1728444439.5045977,38.23,0.4651,37.93,0.4472,38.33,5.0,1.0,0.45,0.4,2,1728444458.973582,0,False,False,0.5000000000000071
-1000,0,1728434152.7980494,20,1728444462.2271547,38.34,0.4636,37.99,0.4461,38.33,5.0,1.0,0.45,0.4,2,1728444481.9562733,0,0.010000000000005116,False,0
-1000,0,1728434152.7980494,20,1728444485.6114676,38.36,0.4619,38.01,0.4449,38.33,5.0,1.0,0.45,0.4,2,1728444503.8202078,0,0.030000000000001137,False,0
-1000,0,1728434152.7980494,20,1728444507.4692502,38.39,0.4606,38.01,0.444,38.33,5.0,1.0,0.45,0.4,2,1728444525.6733696,0,0.060000000000002274,False,0
-1000,0,1728434152.7980494,20,1728444529.326575,38.37,0.4606,38.0,0.44329999999999997,38.33,5.0,1.0,0.45,0.4,2,1728444547.5330527,0,0.03999999999999915,False,0
-1000,0,1728434152.7980494,20,1728444551.1912286,38.32,0.4612,37.93,0.44329999999999997,38.33,5.0,1.0,0.45,0.4,2,1728444571.188282,0,False,False,0.04999999999999005
-1000,0,1728434152.7980494,20,1728444571.245342,38.21,0.4626,37.92,0.4439,38.33,5.0,1.0,0.45,0.4,2,1728444591.172066,0,False,False,0.5999999999999872
-1000,0,1728434152.7980494,20,1728444594.416957,38.1,0.4646,37.86,0.4449,38.33,5.0,1.0,0.45,0.4,2,1728444613.8836725,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444617.1418066,38.0,0.4662,37.8,0.4458,38.33,5.0,1.0,0.45,0.4,2,1728444636.594594,0,False,False,1.0
-1000,0,1728434152.7980494,20,1728444639.8453991,37.97,0.4671,37.81,0.44670000000000004,38.33,5.0,1.0,0.45,0.4,2,1728444659.2922337,0,False,False,1.0
