experiment_begin_timestamp,experiment_sec,experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,humidity_2,thermocouple_1,thermocouple_2,target_temperature,heating_proportional_Cf,cooling_proportional_Cf,target_humidity_high,target_humidity_low,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,fan_on,humidifyer_on,heater_on
-1000,0,1728532654.2562356,20,1728532904.5441415,36.43,0.4416,36.57,0.41340000000000005,38.223,38.124,38.33,5.0,1.0,0.45,0.4,2,1728532923.993931,0,0,0,0.5349999999999966
-1000,0,1728532654.2562356,20,1728532927.243634,36.41,0.4412,36.55,0.41350000000000003,38.317,38.113,38.33,5.0,1.0,0.45,0.4,2,1728532944.0232701,0,0,0,0.06499999999999062
-1000,0,1728532654.2562356,20,1728532947.2695317,36.44,0.44079999999999997,36.56,0.4132,38.164,38.055,38.33,5.0,1.0,0.45,0.4,2,1728532966.7282305,0,0,0,0.8299999999999841
-1000,0,1728532654.2562356,20,1728532969.9834185,36.45,0.44079999999999997,36.61,0.41270000000000007,38.226,38.077,38.33,5.0,1.0,0.45,0.4,2,1728532986.755382,0,0,0,0.519999999999996
-1000,0,1728532654.2562356,20,1728532990.003811,36.45,0.4401,36.63,0.4122,38.141,38.125,38.33,5.0,1.0,0.45,0.4,2,1728533008.2251573,0,0,0,0.9450000000000003
-1000,0,1728532654.2562356,20,1728533011.4752934,36.46,0.43979999999999997,36.6,0.41200000000000003,38.308,38.149,38.33,5.0,1.0,0.45,0.4,2,1728533030.9849408,0,0,0,0.10999999999999233
-1000,0,1728532654.2562356,20,1728533034.2349443,36.47,0.43950000000000006,36.66,0.4118,38.218,38.106,38.33,5.0,1.0,0.45,0.4,2,1728533053.6917758,0,0,0,0.5599999999999739
-1000,0,1728532654.2562356,20,1728533056.944378,36.48,0.4389,36.64,0.41130000000000005,38.31,38.134,38.33,5.0,1.0,0.45,0.4,2,1728533076.388765,0,0,0,0.0999999999999801
-1000,0,1728532654.2562356,20,1728533079.638663,36.48,0.4388,36.64,0.4112,38.29,38.083,38.33,5.0,1.0,0.45,0.4,2,1728533099.0897465,0,0,0,0.19999999999999574
-1000,0,1728532654.2562356,20,1728533102.3365653,36.47,0.43829999999999997,36.64,0.4105,38.218,38.142,38.33,5.0,1.0,0.45,0.4,2,1728533121.7965794,0,0,0,0.5599999999999739
