experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,egg_turning_on,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1768237752.324081,20,1768363722.8054905,37.39,0.584,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363742.6994328,1768363678.8517616,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768363743.0909135,37.42,0.5781000000000001,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363762.824983,1768363678.8517616,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768363763.21385,37.42,0.5712,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363783.0859487,1768363678.8517616,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768363783.4656773,37.46,0.5761999999999999,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363803.084348,1768363678.8517616,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768363803.4813924,37.45,0.5843,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363823.2493374,1768363678.8517616,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768363823.629872,37.49,0.5785,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363843.485223,1768363678.8517616,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768363843.8670776,37.51,0.5712,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363863.827796,1768363858.8650005,0,0,1,0,1,0,0,0,False
1768237752.324081,20,1768363863.9112215,37.53,0.5766,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363883.8778195,1768363858.8650005,0,0,1,0,1,False,0,0,False
1768237752.324081,20,1768363883.946684,37.59,0.5826,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363903.9336963,1768363858.8650005,0,0,1,0,1,False,0,0,False
1768237752.324081,20,1768363904.0039892,37.63,0.5752,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363924.0050838,1768363858.8650005,0,0,1,0,1,False,0,0,False
1768237752.324081,20,1768363924.096201,37.61,0.5673,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363944.0540817,1768363858.8650005,0,0,1,0,1,False,1,0,False
1768237752.324081,20,1768363944.1268713,37.62,0.5831000000000001,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363964.1110106,1768363858.8650005,0,0,1,0,1,False,0,0,False
1768237752.324081,20,1768363964.181939,37.59,0.5791,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768363984.1063292,1768363858.8650005,0,0,1,0,1,False,0,0,False
1768237752.324081,20,1768363984.1893406,37.58,0.5716,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364004.1214776,1768363858.8650005,0,0,1,0,1,False,0,0,False
1768237752.324081,20,1768364004.197987,37.57,0.5751,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364024.1652105,1768363858.8650005,0,0,1,0,1,False,0,0,False
1768237752.324081,20,1768364024.2361758,37.53,0.5821000000000001,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364044.1951208,1768364038.912974,0,0,1,0,1,False,0,0,False
1768237752.324081,20,1768364044.2860534,37.49,0.5765,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364064.2355025,1768364038.912974,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364064.6230419,37.47,0.5697,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364084.5886912,1768364038.912974,0,0,1,0,1,False,True,1,False
1768237752.324081,20,1768364084.9685793,37.45,0.5811000000000001,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364104.6326985,1768364038.912974,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364105.0318995,37.45,0.5835,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364124.68421,1768364038.912974,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364125.0648143,37.39,0.5781000000000001,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364144.9714737,1768364038.912974,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364145.3610213,37.39,0.5714,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364165.0567157,1768364038.912974,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364165.460239,37.42,0.5764,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364185.151882,1768364038.912974,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364185.53117,37.43,0.5844,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364205.3326242,1768364038.912974,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364205.7142842,37.42,0.5784,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364225.3998451,1768364219.0837564,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364225.789749,37.45,0.5705,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364245.7711272,1768364219.0837564,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364246.1509104,37.47,0.5791,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364266.1103976,1768364219.0837564,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364266.5028877,37.45,0.5838,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364286.1930213,1768364219.0837564,0,0,1,0,1,0,0,1,False
1768237752.324081,20,1768364286.5934415,37.5,0.5774,True,37.5,38.2,0.95,0.005,0.0,0.6,0.03,2,1768364306.1411772,1768364219.0837564,0,0,1,0,1,0,0,1,False
