experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,target_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,last_fan_on_timestamp,last_turner_change_timestamp,front_switch,rear_switch,near_switch,far_switch,exhaust_on,humidifyer_on,heater_on,fan_on
1768957255.0221,20,1769054857.1726105,37.45,0.5853,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054877.0463886,1769054839.3583841,1769052489.6848063,0.008,1.0,0.008,1.0,0,0,1,False
1768957255.0221,20,1769054877.4614005,37.5,0.5872,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054896.8784394,1769054839.3583841,1769052489.6848063,0.00809,1.0,0.00809,1.0,0,0,1,False
1768957255.0221,20,1769054897.7085207,37.48,0.5822999999999999,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054917.6780555,1769054839.3583841,1769052489.6848063,0.00894,1.0,0.00894,1.0,0,0,1,False
1768957255.0221,20,1769054918.087684,37.51,0.5754,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054938.054284,1769054839.3583841,1769052489.6848063,0.00876,1.0,0.00876,1.0,0,0,0,False
1768957255.0221,20,1769054938.1159477,37.55,0.5678,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054958.066632,1769054839.3583841,1769052489.6848063,0.00851,1.0,0.00851,1.0,0,1,0,False
1768957255.0221,20,1769054958.1298752,37.58,0.5824,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054978.07685,1769054839.3583841,1769052489.6848063,0.00885,1.0,0.00885,1.0,0,0,0,False
1768957255.0221,20,1769054978.1398172,37.57,0.5833,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769054998.0814238,1769054839.3583841,1769052489.6848063,0.00894,1.0,0.00894,1.0,0,0,0,False
1768957255.0221,20,1769054998.1442099,37.57,0.5773,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055018.1135483,1769054839.3583841,1769052489.6848063,0.008,1.0,0.008,1.0,0,0,0,False
1768957255.0221,20,1769055018.1683033,37.55,0.5685,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055038.1536145,1769055019.8868332,1769052489.6848063,0.00925,1.0,0.00925,1.0,0,1,0,False
1768957255.0221,20,1769055038.2159286,37.49,0.5805,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055058.0470002,1769055019.8868332,1769052489.6848063,0.00912,1.0,0.00912,1.0,0,0,1,False
1768957255.0221,20,1769055058.4564192,37.43,0.5853,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055078.2286193,1769055019.8868332,1769052489.6848063,0.00894,1.0,0.00894,1.0,0,0,1,False
1768957255.0221,20,1769055078.6426578,37.43,0.5821000000000001,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055098.4964778,1769055019.8868332,1769052489.6848063,0.00882,1.0,0.00882,1.0,0,0,1,False
1768957255.0221,20,1769055098.9117212,37.42,0.5767,37.5,38,1.9,0.004,0.0,0.6,0.03,2,1769055118.7599442,1769055019.8868332,1769052489.6848063,0.008,1.0,0.008,1.0,0,0,1,False
