experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,egg_turning_on,target_temperature,boost_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,front_turn_switch,rear_turn_switch,top_switch,venting_state,last_venting_timestamp,exhaust_on,humidifyer_on,heater_on,boost_on,CO2ppm,fan_on
1790099350.1267283,20,1790161292.9384499,21.379034103913938,0.5810635538261998,21.333638513771263,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161303.1429648,False,True,False,False,1790099350.2358587,0,0,1,1,805,False
1790099350.1267283,20,1790161313.037846,21.379034103913938,0.5807736324101626,21.3496604867628,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161323.1848457,False,True,False,False,1790099350.2358587,0,0,1,1,800,False
1790099350.1267283,20,1790161333.1299458,21.395056076905462,0.5805752651255055,21.3496604867628,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161343.3445253,False,True,False,False,1790099350.2358587,0,0,1,1,801,False
1790099350.1267283,20,1790161353.2532644,21.395056076905462,0.5805752651255055,21.3256275272755,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161363.4333575,False,True,False,False,1790099350.2358587,0,0,1,1,800,False
1790099350.1267283,20,1790161373.3518057,21.395056076905462,0.5801174944686046,21.357671473258563,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161383.5263646,False,True,False,False,1790099350.2358587,0,0,1,1,800,False
1790099350.1267283,20,1790161393.4580708,21.379034103913938,0.5799191271839476,21.36034180209049,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161403.6339946,False,True,False,False,1790099350.2358587,0,0,1,1,797,False
1790099350.1267283,20,1790161413.5547862,21.379034103913938,0.5800564583810178,21.3630121309224,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161423.706396,False,True,False,False,1790099350.2358587,0,0,1,1,799,False
1790099350.1267283,20,1790161433.6554348,21.408407721065075,0.5802395666437782,21.373693446250087,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161443.7998054,False,True,False,False,1790099350.2358587,0,0,1,1,799,False
1790099350.1267283,20,1790161453.7449827,21.421759365224688,0.5801327534905013,21.36034180209049,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161463.9282556,False,True,False,False,1790099350.2358587,0,0,1,1,800,False
1790099350.1267283,20,1790161473.8473928,21.408407721065075,0.5803921568627451,21.341649500267025,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161484.0348222,False,True,False,False,1790099350.2358587,0,0,1,1,797,False
1790099350.1267283,20,1790161493.9354105,21.395056076905462,0.5809567406729229,21.357671473258563,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161504.1172597,False,True,False,False,1790099350.2358587,0,0,1,1,797,False
1790099350.1267283,20,1790161514.021649,21.395056076905462,0.5815671015487908,21.355001144426637,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161524.2153683,False,True,False,False,1790099350.2358587,0,0,1,1,799,False
1790099350.1267283,20,1790161534.129419,21.408407721065075,0.582055390249485,21.3630121309224,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161544.3097582,False,True,False,False,1790099350.2358587,0,0,1,1,801,False
1790099350.1267283,20,1790161554.235856,21.421759365224688,0.5834744792858778,21.357671473258563,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161564.3961062,False,True,False,False,1790099350.2358587,0,0,1,1,805,False
1790099350.1267283,20,1790161574.323335,21.408407721065075,0.5841000991836424,21.330968184939337,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161584.5030549,False,True,False,False,1790099350.2358587,0,0,1,1,810,False
1790099350.1267283,20,1790161594.4147956,21.421759365224688,0.5842526894026093,21.3496604867628,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161604.5977182,False,True,False,False,1790099350.2358587,0,0,1,1,817,False
1790099350.1267283,20,1790161614.5067708,21.408407721065075,0.5843442435339895,21.346990157930875,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161624.711789,False,True,False,False,1790099350.2358587,0,0,1,1,824,False
1790099350.1267283,20,1790161634.6116042,21.395056076905462,0.5847562371252003,21.346990157930875,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161644.789316,False,True,False,False,1790099350.2358587,0,0,1,1,827,False
1790099350.1267283,20,1790161654.7147725,21.395056076905462,0.5853665980010682,21.357671473258563,True,37.5,36.5,38.6,0.95,0.05,0.0,0.58,0.01,2,1790161664.892871,False,True,False,False,1790099350.2358587,0,0,1,1,834,False
