experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,egg_turning_on,target_temperature,boost_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,front_turn_switch,rear_turn_switch,top_switch,venting_state,last_venting_timestamp,exhaust_on,humidifyer_on,heater_on,boost_on,fan_on
1783947642.4476278,20,1784343590.729074,37.50247959105822,0.6251300831616693,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784343600.7551951,True,False,True,False,1784343455.179324,False,1,0,0,False
1783947642.4476278,20,1784343610.7350037,37.48645761806668,0.6252445258258946,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784343620.7617767,False,False,True,False,1784343455.179324,False,True,1,0,False
1783947642.4476278,20,1784343630.7414126,37.47310597390707,0.6252635996032655,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784343640.767464,False,False,True,True,1784343635.179361,False,True,1,0,False
1783947642.4476278,20,1784343650.7474031,37.427710383764406,0.6251682307164111,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784343660.7735322,False,False,True,False,1784343635.179361,False,True,1,0,False
1783947642.4476278,20,1784343670.753341,37.43305104142824,0.6253208209353781,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784343680.779463,False,False,True,False,1784343635.179361,False,True,1,0,False
1783947642.4476278,20,1784343690.7592733,37.43305104142824,0.6247486076142519,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784343700.7853246,False,False,True,False,1784343635.179361,False,True,1,0,False
1783947642.4476278,20,1784343710.7650774,37.465094987411305,0.6252254520485236,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784343720.7917397,False,False,True,False,1784343635.179361,False,True,1,0,False
1783947642.4476278,20,1784343730.771286,37.489127946898606,0.6252254520485236,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784343740.7974296,False,False,True,False,1784343635.179361,False,True,1,0,False
1783947642.4476278,20,1784343750.777067,37.48645761806668,0.6252063782711528,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784343760.8032112,False,False,True,False,1784343635.179361,False,True,1,0,False
1783947642.4476278,20,1784343770.782972,37.48645761806668,0.625187304493782,-500,True,37.5,36.5,38.6,0.95,0.05,0.0,0.7,0.03,2,1784343780.8092358,False,False,True,False,1784343635.179361,False,True,1,0,False
