experiment_state_timestamp,save_interval_secs,last_save_timestamp,temperature_1_C,humidity_1,temperature_2_C,egg_turning_on,target_temperature,boost_temperature,cooling_start_temperature,heating_proportional_Cf,heating_integral_Cf,heating_derivitive_Cf,target_humidity,range_humidity,control_change_minimum_secs,last_control_change_timestamp,front_turn_switch,rear_turn_switch,top_switch,venting_state,last_venting_timestamp,exhaust_on,humidifyer_on,heater_on,boost_on,fan_on
1782864839.1364398,20,1782903681.4704099,22.436484321354996,0.646263828488594,-500,True,17.5,16.8,38.6,0.95,0.005,0.0,0.7,0.03,2,1782903691.4980876,0,1,0,False,1782903539.1888697,0,1,0,0,False
1782864839.1364398,20,1782903701.476916,22.43114366369116,0.6459967956054017,-500,True,17.5,16.8,38.6,0.95,0.005,0.0,0.7,0.03,2,1782903711.5043695,0,1,0,True,1782903719.1888936,0,1,0,0,False
1782864839.1364398,20,1782903721.4835975,22.444495307850772,0.6462829022659647,-500,True,17.5,16.8,38.6,0.95,0.005,0.0,0.7,0.03,2,1782903731.5115194,0,1,0,True,1782903719.1888936,0,1,0,0,False
1782864839.1364398,20,1782903741.4899774,22.460517280842296,0.646092164492256,-500,True,17.5,16.8,38.6,0.95,0.005,0.0,0.7,0.03,2,1782903751.518313,0,1,0,False,1782903719.1888936,0,1,0,0,False
1782864839.1364398,20,1782903761.4967198,22.47386892500191,0.6461684596017395,-500,True,17.5,16.8,38.6,0.95,0.005,0.0,0.7,0.03,2,1782903771.5234315,0,1,0,False,1782903719.1888936,0,1,0,0,False
1782864839.1364398,20,1782903781.5028996,22.463187609674222,0.6465880827038987,-500,True,17.5,16.8,38.6,0.95,0.005,0.0,0.7,0.03,2,1782903791.5302386,0,1,0,False,1782903719.1888936,0,1,0,0,False
1782864839.1364398,20,1782903801.5090494,22.47386892500191,0.6461493858243686,-500,True,17.5,16.8,38.6,0.95,0.005,0.0,0.7,0.03,2,1782903811.536374,0,1,0,False,1782903719.1888936,0,1,0,0,False
1782864839.1364398,20,1782903821.5153017,22.465857938506147,0.6463210498207065,-500,True,17.5,16.8,38.6,0.95,0.005,0.0,0.7,0.03,2,1782903831.542736,0,1,0,False,1782903719.1888936,0,1,0,0,False
1782864839.1364398,20,1782903841.521525,22.476539253833835,0.6462256809338521,-500,True,17.5,16.8,38.6,0.95,0.005,0.0,0.7,0.03,2,1782903851.5489688,0,1,0,False,1782903719.1888936,0,1,0,0,False
1782864839.1364398,20,1782903861.5278623,22.447165636682683,0.6462256809338521,-500,True,17.5,16.8,38.6,0.95,0.005,0.0,0.7,0.03,2,1782903871.5552511,0,1,0,False,1782903719.1888936,0,1,0,0,False
